Company,Job_title,Location,Salary,Skill,Job_Desc,Links
DAISIES WEAR,Host Live Streaming,"Kapanewon Wates, Kulon Progo, DI Yogyakarta, Indonesia",,,"Menghadirkan siaran langsung yang menarik dan menghibur kepada audiens., Berinteraksi secara aktif dengan audiens melalui chat dan komentar., Menyampaikan konten dengan jelas dan memikat menggunakan kemampuan berbicara yang baik., Memahami tren dan topik yang sedang populer untuk menarik minat audiens., Memastikan kelancaran teknis selama siaran langsung., Mempromosikan dan memperkenalkan produk atau layanan perusahaan kepada audiens.",https://glints.com/id/opportunities/jobs/host-live-streaming/e4910503-cf33-4f98-b516-b830e3afa50f?utm_referrer=explore
PT. Niaga Aneka Mode,Admin E-commerce,"Tegalsari, Surabaya, Jawa Timur, Indonesia","Rp3jt-Rp3,5jt",,"Usia maksimal 25 tahun, Pendidikan minimal Diploma, Menguasai pengelolaan marketplace, Pengalaman minimal 1 tahun di bidangnya, High energy, kreatif dan fashionable, Siap bekerja di bawah target, Memiliki skill komunikasi yang baik, Bersedia bekerja di kantor Surabaya",https://glints.com/id/opportunities/jobs/admin-e-commerce/712d1f6d-b4c6-43e2-8287-39b89d330319?utm_referrer=explore
Myrobin,Promotor Outlet Kredivo - Purwakarta,"Purwakarta, Purwakarta, Jawa Barat, Indonesia","Rp3,5jt-Rp10jt","Direct Sales, Sales, Retail Sales",,https://glints.com/id/opportunities/jobs/promotor-outlet-kredivo-purwakarta/078a156d-3dd1-40f7-b3af-de6243b2360f?utm_referrer=explore
PT. Kata Suhu Kita,HR Admin (Paid Internship),"Kemantren Wirobrajan, Yogyakarta, DI Yogyakarta, Indonesia",,,,https://glints.com/id/opportunities/jobs/hr-admin-paid-internship/b43c9238-b1c2-4681-94ce-99255c46ec88?utm_referrer=explore
Pt Enigma Camp,IT Bootcamp,"Pasar Minggu, Jakarta Selatan, DKI Jakarta, Indonesia",,,"Usia maksimal 30 tahun., Memiliki minat atau pengetahuan dasar programming., Lulusan SMA/SMK sederajat",https://glints.com/id/opportunities/jobs/it-bootcamp/0a33c113-0c08-4fe4-bd35-b422f572427b?utm_referrer=explore
Fastech Media Indonesia,HOST LIVE STREAMING MARKETPLACE,"Karawang Barat, Karawang, Jawa Barat, Indonesia",Rp3jt-Rp4jt,"Target Oriented, Proactive And Fast Learner, Creative, Host Live Steam, Confident, Public Speaking, Product Knowledge, Good Communication Skills, Sales Marketing","Minimal Lulusan SMA/SMK-Usia 30 Tahun, Memiliki komunikasi yang baik dalam menjelaskan sebuah produk dengan baik., Bekerja dengan target & dapat berjualan, Percaya diri tampil didepan kamera., Bersedia bekerja secara shift, 6 hari seminggu, (kemungkinan bekerja dihari Sabtu/minggu/hari libur nasional), Bersedia bekerja di Karawang.",https://glints.com/id/opportunities/jobs/host-live-streaming-marketplace/f02268c5-cc62-42fb-98b3-5c873a958af4?utm_referrer=explore
Auto2000 Kramatjati,Sales Consultant,"Ciracas, Jakarta Timur, DKI Jakarta, Indonesia",,"Komunikatif, Target Oriented, Loyal, Berdedikasi,  Inisiatif","Pria / Wanita, Max 30 tahun, Pendidikan min D3, Penampilan menarik, Berdedikasi tinggi, Komunikatif",https://glints.com/id/opportunities/jobs/sales-consultant/2b61ceee-6d7d-482b-9395-866a31aae95e?utm_referrer=explore
Auto2000 Kramatjati,Sales Assistant,"Ciracas, Jakarta Timur, DKI Jakarta, Indonesia",,"Komunikatif, Target Oriented, Loyal, Berdedikasi,  Inisiatif","Pria / Wanita, Max 30 tahun, Pendidikan min D3, Penampilan menarik, Berdedikasi tinggi",https://glints.com/id/opportunities/jobs/sales-assistant/840b5ce6-f87f-4b4e-826f-e64ab59ece20?utm_referrer=explore
PT.Bluebird Group,Sopir Taxi,"Ciracas, Jakarta Timur, DKI Jakarta, Indonesia",Rp4jt-Rp7jt,,,https://glints.com/id/opportunities/jobs/sopir-taxi/93b2c32b-8b52-435b-8b71-cabaee1bd02d?utm_referrer=explore
CV Mitra Adhiska Grup,Baker (produksi),"Tabanan, Tabanan, Bali, Indonesia",,,"Pria / Wanita, Maksimal umur 45 tahun, Pendidikan dan pengalaman tidak diutamakan",https://glints.com/id/opportunities/jobs/baker-produksi/877d33eb-4cc3-4093-b26b-a694c47e3529?utm_referrer=explore
