Job Title,Company,Location,Work Type,Study Requirement,Experience,Skill,Salary,Link
Sales Fintech / Pembukaan Rekening / Sales CC (JABODETABEK),PT Danamas Insan Kreasi Andalan (Bandung),"Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Good Communication Skills,N/A,https://glints.com/id/opportunities/jobs/sales-fintech-pembukaan-rekening-sales-cc-jabodetabek/f0e3bdad-71a4-4307-b2dd-143050db87fb?utm_referrer=explore
Security Guard (Daily Worker),The Kayon Jungle Resort,"Ubud, Gianyar, Bali, Indonesia",Magang,Minimal SMA/SMK,Kurang dari setahun,Kerja Tim,N/A,https://glints.com/id/opportunities/jobs/security-guard-daily-worker/84a7b433-0fe6-4cfc-95f8-3f0aac1b02ae?utm_referrer=explore
Reservation (Daily Worker),The Kayon Jungle Resort,"Ubud, Gianyar, Bali, Indonesia",Magang,Minimal SMA/SMK,Kurang dari setahun,Ketelitian,N/A,https://glints.com/id/opportunities/jobs/reservation-daily-worker/2169fc6f-10c7-40dc-97c8-6ca4adfaf71b?utm_referrer=explore
GSA/ Reception (Daily Worker),The Kayon Jungle Resort,"Ubud, Gianyar, Bali, Indonesia",Paruh Waktu,Minimal SMA/SMK,Kurang dari setahun,Host Live Steam,N/A,https://glints.com/id/opportunities/jobs/gsa-reception-daily-worker/f22b6d92-6ff9-4028-b714-722cc77426c6?utm_referrer=explore
Bioinformatics,PT. Pandu Biosains,"Kramatjati, Jakarta Timur, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,Punya Kendaraan Pribadi,N/A,https://glints.com/id/opportunities/jobs/bioinformatics/5470962d-6df4-47df-945a-b4e92381a096?utm_referrer=explore
SPA Therapist (Daily Worker),The Kayon Jungle Resort,"Ubud, Gianyar, Bali, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Product Design,N/A,https://glints.com/id/opportunities/jobs/spa-therapist-daily-worker/67d0a220-633b-4f18-a138-c419cc16fac8?utm_referrer=explore
BA Somethinc Tabanan,Somethinc,"Tabanan, Tabanan, Bali, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Desain Grafis,N/A,https://glints.com/id/opportunities/jobs/ba-somethinc-tabanan/fa33b080-4cd6-4cfc-8b6c-e3cede1cb75b?utm_referrer=explore
BA For Somethinc,Somethinc,"Denpasar Barat, Denpasar, Bali, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Sales Marketing,N/A,https://glints.com/id/opportunities/jobs/ba-for-somethinc/0604a737-a456-4154-aec4-55de67d75d64?utm_referrer=explore
BARISTA MIE SEAN BROMO MALANG,MIE SETAN BROMO MALANG,"Klojen, Malang, Jawa Timur, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Security,N/A,https://glints.com/id/opportunities/jobs/barista-mie-sean-bromo-malang/c37ce3bf-3cbf-43b0-848e-262f0eccd2dd?utm_referrer=explore
Staff Telemarketing,PT Transporindo Agung Sejahtera,"Tanjung Priok, Jakarta Utara, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Security Guard,N/A,https://glints.com/id/opportunities/jobs/staff-telemarketing/71a88902-d954-4a91-b0cf-dd6727343985?utm_referrer=explore
IT Support,Pt. Inovasi Anak Indonesia,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",Kontrak,Minimal SMA/SMK,Kurang dari setahun,Hotel Reservation,N/A,https://glints.com/id/opportunities/jobs/it-support/21ca6e45-3967-47b3-bb0a-21f82ef9c93f?utm_referrer=explore
FRONT OFFICE TRAINEE,Aston Kuta Hotel,"Kuta, Badung, Bali, Indonesia",Magang,Minimal SMA/SMK,Kurang dari setahun,Receptionist,N/A,https://glints.com/id/opportunities/jobs/front-office-trainee/107f9f83-8bf7-42d2-996e-6d0d60820db9?utm_referrer=explore
Guru Bidang Studi Geografi,Bimbingan dan Konsultasi Belajar Nurul Fikri,"Tangerang, Tangerang, Banten, Indonesia",Paruh Waktu,Minimal Sarjana (S1),Kurang dari setahun,Resepsionis,N/A,https://glints.com/id/opportunities/jobs/guru-bidang-studi-geografi/31bae208-5d00-4999-97cc-37050a0aa756?utm_referrer=explore
Marketing Business,Victory International Futures CentralPark,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Ability To Work Independently,N/A,https://glints.com/id/opportunities/jobs/marketing-business/fedeeb40-5772-4d28-b9b6-9d425d1bbba9?utm_referrer=explore
Digital Imaging,AVA Komunika,"Jagakarsa, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Spa therapist,N/A,https://glints.com/id/opportunities/jobs/digital-imaging/1e2115b3-23d2-485f-9b09-786eb0db31d9?utm_referrer=explore
